row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
6770	6770	16	3	2			0.04917	0	173224	99625
6771	6771	16	3	0	101	4	0.08029	187892	442754	209788
6772	6772	16	3	2			2.188	0	8674610	5663632
6773	6773	16	3	2			5.141	0	19435178	12083136
6774	6774	16	3	0	87	2	6.665	9963218	33304169	16718908
6775	6775	16	3	0	90	3	3.346	5758139	17857946	8186423
6776	6776	16	3	0	101	3	0.1343	206536	727482	391852
6777	6777	16	3	0	103	4	0.4051	1862185	3388577	1535762
6778	6778	16	3	0	96	2	0.2447	994134	1867573	752019
6779	6779	16	3	0	116	5	0.0469	7326	42629	26458
6780	6780	16	3	2			0.5551	0	2317526	1314337
6781	6781	16	3	2			0.04693	0	6672	3742
6782	6782	16	3	0	104	3	0.04768	94712	235012	116701
6783	6783	16	3	0	92	3	0.2652	613492	1707565	892276
6784	6784	16	3	2			0.2345	0	1033946	607665
6785	6785	16	3	0	146	10	0.2297	42869	994294	606740
6786	6786	16	3	0	110	3	0.1026	262870	627091	300778
6787	6787	16	3	2			23.86	0	85997715	51578824
6788	6788	16	3	0	106	3	0.09193	179360	518354	242276
6789	6789	16	3	2			0.04697	0	4224	3367
6790	6790	16	3	0	116	5	0.3405	667710	2008428	1102073
6791	6791	16	3	2			0.06644	0	253513	162259
6792	6792	16	3	2			0.04691	0	14	10
6793	6793	16	3	0	134	8	0.04808	9776	34824	20180
6794	6794	16	3	0	88	3	0.04761	100826	200828	86755
6795	6795	16	3	0	97	2	0.1086	187280	595625	310766
6796	6796	16	3	0	123	8	0.04715	10304	96168	58682
6797	6797	16	3	0	107	4	0.2966	422559	1658282	922707
6798	6798	16	3	2			0.0469	0	79	38
6799	6799	16	3	0	108	4	0.569	1358779	3590280	1775642
6800	6800	16	3	2			0.04699	0	150725	106030
6801	6801	16	3	0	94	3	0.04724	34378	165305	93716
6802	6802	16	3	2			0.04725	0	27252	15606
6803	6803	16	3	0	86	2	0.09005	314618	620731	259679
6804	6804	16	3	0	104	4	1.037	1765571	5851667	3253330
6805	6805	16	3	0	100	4	0.3531	841570	2143532	1015874
6806	6806	16	3	0	106	5	0.3657	221275	1659956	952763
6807	6807	16	3	0	105	6	0.04732	23323	98893	54865
6808	6808	16	3	0	88	2	0.2005	771134	1534343	775910
6809	6809	16	3	2			2.539	0	10220149	6451770
6810	6810	16	3	0	93	2	0.1897	589764	1280074	566506
6811	6811	16	3	2			0.04693	0	66	36
6812	6812	16	3	0	113	4	0.5907	283572	2829672	1563770
6813	6813	16	3	0	100	3	6.299	4496612	29142980	14922442
6814	6814	16	3	0	102	3	0.318	675439	1967877	1012356
6815	6815	16	3	0	112	5	11.93	13760270	54611668	28771125
6816	6816	16	3	0	87	1	1.073	3940537	7512924	3348186
6817	6817	16	3	0	94	2	0.1629	612942	1174724	495439
6818	6818	16	3	0	113	5	0.04753	48657	191591	108786
6819	6819	16	3	2			2.342	0	9480723	5534467
6820	6820	16	3	2			0.04694	0	258	147
6821	6821	16	3	2			0.04717	0	13	8
6822	6822	16	3	0	89	2	0.4367	1852759	3397555	1447414
6823	6823	16	3	2			26.29	0	83950201	53561380
6824	6824	16	3	0	105	4	0.04733	65753	206009	121379
6825	6825	16	3	0	101	3	0.803	1816616	4937390	2515647
6826	6826	16	3	0	102	4	0.1327	286401	777340	392607
6827	6827	16	3	0	98	3	0.1658	327148	956707	504653
6828	6828	16	3	0	88	2	0.6521	2166876	4540503	2028646
6829	6829	16	3	0	92	3	4.163	9818847	22659898	10822169
6830	6830	16	3	0	123	6	0.04745	47716	190278	107030
6831	6831	16	3	0	104	4	0.2465	608044	1480798	725397
6832	6832	16	3	0	108	4	0.7451	1661106	4601488	2290747
6833	6833	16	3	0	92	2	0.9815	2826831	6413194	2361655
6834	6834	16	3	0	109	4	0.04703	49976	123568	60085
6835	6835	16	3	2			0.5048	0	2180045	1284421
6836	6836	16	3	2			0.04705	0	73	70
6837	6837	16	3	0	107	4	0.2043	315045	1139831	582437
6838	6838	16	3	2			0.04714	0	2	0
6839	6839	16	3	0	100	4	0.0472	44979	141535	69024
6840	6840	16	3	0	92	3	0.1749	363824	1032222	534441
6841	6841	16	3	0	105	4	0.09719	286777	612830	286337
6842	6842	16	3	0	98	4	0.7945	823220	4173698	2316706
6843	6843	16	3	0	111	4	0.9606	489143	4265054	2388530
6844	6844	16	3	0	113	3	0.04707	25680	96627	52890
6845	6845	16	3	0	104	3	0.4385	1064081	2794140	1428720
6846	6846	16	3	0	105	4	0.1519	364952	910769	448806
6847	6847	16	3	0	94	2	0.04723	100532	216890	105797
6848	6848	16	3	0	105	4	0.04769	31747	87302	46251
6849	6849	16	3	0	103	4	0.6593	1904181	4318342	2298108
6850	6850	16	3	0	99	4	0.2787	615023	1632729	829921
6851	6851	16	3	0	100	3	0.3491	560369	1941027	969268
6852	6852	16	3	0	132	7	0.8194	51738	3412870	1990253
6853	6853	16	3	0	92	3	1.885	5512161	11367240	5003964
6854	6854	16	3	0	103	4	0.3658	1143893	2464923	1103778
6855	6855	16	3	2			0.04691	0	25	14
6856	6856	16	3	2			0.04723	0	6583	3568
6857	6857	16	3	0	92	3	0.2118	349018	1193155	596762
6858	6858	16	3	0	88	3	0.271	1651730	2649255	956763
6859	6859	16	3	0	98	2	0.07095	308292	532699	209592
6860	6860	16	3	0	97	3	1.567	3448233	9083457	4448296
6861	6861	16	3	0	84	3	0.1592	744115	1250659	465618
6862	6862	16	3	0	91	4	0.1286	318440	730621	343004
6863	6863	16	3	0	110	4	0.04715	33743	94408	48005
6864	6864	16	3	0	93	3	0.06007	151138	336643	146801
