row	seed	threads	draw	outcome	moves	passes	time	fringe	advances	mvtree
28969	28969	16	3	0	93	3	0.2832	729133	996022	764960
28970	28970	16	3	0	101	3	0.03781	35954	66496	54761
28971	28971	16	3	0	104	3	2.142	1522419	8735291	5716383
28972	28972	16	3	0	102	3	0.0965	144703	295411	210862
28973	28973	16	3	0	97	2	0.4281	1925466	1445202	1226780
28974	28974	16	3	0	110	4	0.1017	208100	309051	234664
28975	28975	16	3	0	102	4	0.04804	98499	94856	87451
28976	28976	16	3	0	101	3	17.07	32595600	56485813	41757771
28977	28977	16	3	0	85	1	0.4048	1613749	1470732	1193893
28978	28978	16	3	0	94	3	0.1167	314064	357800	303913
28979	28979	16	3	0	89	3	0.1714	867464	530520	453812
28980	28980	16	3	2			0.006088	0	1745	1009
28981	28981	16	3	0	100	4	0.3188	328483	1256021	851385
28982	28982	16	3	0	109	4	0.09022	162198	273708	221756
28983	28983	16	3	0	123	6	0.9737	693438	3939458	2481187
28984	28984	16	3	0	91	3	0.1079	381749	316459	275815
28985	28985	16	3	0	101	2	0.7091	436532	2914179	1778880
28986	28986	16	3	0	98	2	0.1504	496246	486950	400708
28987	28987	16	3	0	91	3	0.04215	66645	80028	65435
28988	28988	16	3	2			0.006499	0	3845	2100
28989	28989	16	3	0	89	3	0.04571	84695	81579	66965
28990	28990	16	3	0	103	3	2.16	2346008	7990344	5187241
28991	28991	16	3	2			14.32	0	51606015	29582852
28992	28992	16	3	0	111	5	0.08923	84518	284380	200898
28993	28993	16	3	0	84	2	0.03912	41702	67963	53753
28994	28994	16	3	2			0.02106	0	35792	21022
28995	28995	16	3	0	108	3	0.09707	168808	322547	226661
28996	28996	16	3	0	97	4	0.2415	303464	948475	571463
28997	28997	16	3	0	94	3	0.03979	35313	75960	55955
28998	28998	16	3	0	93	2	1.49	4878377	5498076	3891542
28999	28999	16	3	0	89	1	0.42	1698492	1498573	1258420
29000	29000	16	3	0	115	6	2.449	3164781	9303804	6266109
29001	29001	16	3	0	107	3	0.02074	14112	23849	17872
29002	29002	16	3	0	88	3	0.1268	281208	440042	359557
29003	29003	16	3	0	123	7	0.09852	846	356716	220456
29004	29004	16	3	0	93	2	0.1591	799840	493014	442052
29005	29005	16	3	0	116	6	0.09259	18064	316822	189150
29006	29006	16	3	2			0.009474	0	10126	5742
29007	29007	16	3	0	97	3	0.04596	37161	94936	71492
29008	29008	16	3	0	97	3	0.1827	252662	694169	479387
29009	29009	16	3	0	91	3	0.1239	212383	419151	319492
29010	29010	16	3	0	104	3	0.04772	39799	94800	67182
29011	29011	16	3	0	105	4	0.05521	62153	134302	104907
29012	29012	16	3	0	112	4	0.5458	1042483	2125882	1710016
29013	29013	16	3	0	99	3	0.1421	343849	489217	390734
29014	29014	16	3	0	92	2	0.6964	1765904	2830261	2066397
29015	29015	16	3	0	101	3	0.3162	887073	1163144	972775
29016	29016	16	3	2			0.135	0	530351	293144
29017	29017	16	3	0	92	3	0.542	1734708	2030149	1750939
29018	29018	16	3	0	96	3	1.08	2035763	4211030	3195498
29019	29019	16	3	0	116	6	0.1614	364623	530828	476692
29020	29020	16	3	0	106	3	0.5179	483700	2035314	1397053
29021	29021	16	3	0	98	4	0.2227	689566	771496	625979
29022	29022	16	3	0	108	4	1.075	1879184	4238307	3011977
29023	29023	16	3	0	99	2	0.3015	546515	1132243	884540
29024	29024	16	3	2			0.1951	0	783638	437062
29025	29025	16	3	0	104	3	1.427	2641575	5433346	3821630
29026	29026	16	3	0	97	3	0.5397	1388419	1977310	1449032
29027	29027	16	3	0	88	2	0.4679	1585281	1702299	1322374
29028	29028	16	3	0	100	3	0.297	368277	1110560	723437
29029	29029	16	3	2			0.004152	0	3	0
29030	29030	16	3	0	92	3	0.4051	1394529	1436287	1106670
29031	29031	16	3	0	92	3	0.0778	204084	273684	203513
29032	29032	16	3	0	98	2	0.1694	541122	628076	494731
29033	29033	16	3	0	112	5	0.2685	132137	1058975	691628
